,attributes.capacitystatus,attributes.clockSpeed,attributes.currentGeneration,attributes.dedicatedEbsThroughput,attributes.ebsOptimized,attributes.ecu,attributes.elasticGpuType,attributes.enhancedNetworkingSupported,attributes.fromLocation,attributes.fromLocationType,attributes.gpu,attributes.gpuMemory,attributes.group,attributes.groupDescription,attributes.instance,attributes.instanceCapacity10xlarge,attributes.instanceCapacity12xlarge,attributes.instanceCapacity16xlarge,attributes.instanceCapacity18xlarge,attributes.instanceCapacity24xlarge,attributes.instanceCapacity2xlarge,attributes.instanceCapacity32xlarge,attributes.instanceCapacity4xlarge,attributes.instanceCapacity8xlarge,attributes.instanceCapacity9xlarge,attributes.instanceCapacityLarge,attributes.instanceCapacityMedium,attributes.instanceCapacityXlarge,attributes.instanceFamily,attributes.instanceType,attributes.intelAvx2Available,attributes.intelAvxAvailable,attributes.intelTurboAvailable,attributes.licenseModel,attributes.location,attributes.locationType,attributes.maxIopsBurstPerformance,attributes.maxIopsvolume,attributes.maxThroughputvolume,attributes.maxVolumeSize,attributes.memory,attributes.networkPerformance,attributes.normalizationSizeFactor,attributes.operatingSystem,attributes.operation,attributes.physicalCores,attributes.physicalProcessor,attributes.preInstalledSw,attributes.processorArchitecture,attributes.processorFeatures,attributes.provisioned,attributes.servicecode,attributes.servicename,attributes.storage,attributes.storageMedia,attributes.tenancy,attributes.toLocation,attributes.toLocationType,attributes.transferType,attributes.usagetype,attributes.vcpu,attributes.volumeType,productFamily,sku
450,Used,2.3 GHz,Yes,850 Mbps,,13,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i3.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Up to 10 Gigabit,8,Linux,RunInstances:0100,,Intel Xeon E5-2686 v4 (Broadwell),SQL Ent,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 950 NVMe SSD,,Host,,,,HostBoxUsage:i3.xlarge,4,,Compute Instance,KTQJF3V9GT8JDXFP
455,Used,,Yes,,,347,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5.24xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,768 GiB,25 Gigabit,192,Linux,RunInstances:0100,,Intel Xeon Platinum 8175,SQL Ent,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:r5.24xlarge,96,,Compute Instance,V6NZQA957AWAXRXW
457,Used,2.5 GHz,No,,,13,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Moderate,8,Linux,RunInstances:0200,,Intel Xeon E5-2670 v2 (Ivy Bridge),SQL Web,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 80 SSD,,Host,,,,HostBoxUsage:r3.xlarge,4,,Compute Instance,PRJMGAVDRMW8MM86
462,Used,2.3 GHz,Yes,12000 Mbps,,195,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.16xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,488 GiB,20 Gigabit,128,SUSE,RunInstances:000g,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:r4.16xlarge,64,,Compute Instance,84S2KXJ69JV6DQFX
467,Used,3.0 Ghz,Yes,4500 Mbps,,141,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.9xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,72 GiB,10 Gigabit,72,SUSE,RunInstances:000g,,Intel Xeon Platinum 8124M,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 900 NVMe SSD,,Shared,,,,BoxUsage:c5d.9xlarge,36,,Compute Instance,9GEEHM5PVM3VMDXB
483,Used,,Yes,,,28,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,8,Windows,RunInstances:0800,,Intel Xeon Platinum 8151,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 150 NVMe SSD,,Dedicated,,,,DedicatedUsage:z1d.xlarge,4,,Compute Instance,HZSEPMEVNJYUJVM4
493,Used,2.4  GHz,Yes,750 Mbps,,13,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m4.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,High,8,Windows,RunInstances:0202,,Intel Xeon E5-2676 v3 (Haswell),SQL Web,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:m4.xlarge,4,,Compute Instance,MKTYG4ZPBZEJP3T8
508,Used,2.5 GHz,No,,,26,,,,,,,,,,,,,,,,,,,,,,,General purpose,m3.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30 GiB,High,16,Linux,RunInstances,,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 80 SSD,,Dedicated,,,,DedicatedUsage:m3.2xlarge,8,,Compute Instance,Q7DXWWF6MF8PNEWR
550,Used,,Yes,,,173,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5.12xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,384 GiB,10 Gigabit,96,Windows,RunInstances:0800,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:r5.12xlarge,48,,Compute Instance,SD3HSGN5JU5YTX37
565,Used,2.3 GHz,Yes,6000 Mbps,,99,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,244 GiB,10 Gigabit,64,Linux,RunInstances:0200,,Intel Xeon E5-2686 v4 (Broadwell),SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:r4.8xlarge,32,,Compute Instance,FMSC9YRVXPCMYSS8
572,Used,,Yes,,,75,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.3xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,96 GiB,Up to 10 Gigabit,24,Linux,RunInstances,,Intel Xeon Platinum 8151,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 450 NVMe SSD,,Dedicated,,,,DedicatedUsage:z1d.3xlarge,12,,Compute Instance,BGGP75F3TRD9QGFC
576,Used,,Yes,,,19,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,10 Gigabit,8,RHEL,RunInstances:0010,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 150 NVMe SSD,,Host,,,,HostBoxUsage:r5d.xlarge,4,,Compute Instance,BD2YEJ38Z84SMRGM
580,Used,2.5 GHz,No,,,6.5,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,15.25 GiB,Moderate,4,RHEL,RunInstances:0010,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 32 SSD,,Host,,,,HostBoxUsage:r3.large,2,,Compute Instance,B6VB3UEXSBZ2WHBT
587,Used,2.3 GHz,Yes,1750 Mbps,,27,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i3.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,Up to 10 Gigabit,16,Linux,RunInstances:0200,,Intel Xeon E5-2686 v4 (Broadwell),SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 1900 NVMe SSD,,Host,,,,HostBoxUsage:i3.2xlarge,8,,Compute Instance,J47XUMVN9ESUHBX5
593,Used,,Yes,,,134,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.6xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,192 GiB,10 Gigabit,48,Linux,RunInstances,,Intel Xeon Platinum 8151,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 900 NVMe SSD,,Host,,,,HostBoxUsage:z1d.6xlarge,24,,Compute Instance,FPPZJN9VE9G9YTS5
595,Used,2.8 GHz,No,,,55,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c3.4xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,30 GiB,High,32,Windows,RunInstances:0800,,Intel Xeon E5-2680 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 160 SSD,,Host,,,,HostBoxUsage:c3.4xlarge,16,,Compute Instance,TCG3S2HMU5VP2DFN
606,Used,2.5 GHz,No,,,14,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i2.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Moderate,8,Windows,RunInstances:0102,,Intel Xeon E5-2670 v2 (Ivy Bridge),SQL Ent,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 800 SSD,,Dedicated,,,,DedicatedUsage:i2.xlarge,4,,Compute Instance,S73ZA9CU68E57ZAH
611,Used,3.0 Ghz,Yes,Upto 2250 Mbps,,68,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,32,Linux,RunInstances:0200,,Intel Xeon Platinum 8124M,SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:c5.4xlarge,16,,Compute Instance,9ATHE3QCR2VUKU25
615,Used,,Yes,,,53,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,64 GiB,Up to 10 Gigabit,16,SUSE,RunInstances:000g,,Intel Xeon Platinum 8151,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 300 NVMe SSD,,Host,,,,HostBoxUsage:z1d.2xlarge,8,,Compute Instance,XBWV539M7URQGFSS
618,Used,2.3 GHz,Yes,,,188,,Yes,,,16,,,,,,,,,,,,,,,,,,GPU instance,p2.16xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,768 GiB,20 Gigabit,128,SUSE,RunInstances:000g,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:p2.16xlarge,64,,Compute Instance,MQ6M7PWCD7PJTKHD
624,Used,,Yes,,,75,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.3xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,96 GiB,Up to 10 Gigabit,24,RHEL,RunInstances:0010,,Intel Xeon Platinum 8151,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 450 NVMe SSD,,Shared,,,,BoxUsage:z1d.3xlarge,12,,Compute Instance,2WX5WVHRPMTM8R96
630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,3000 for volumes <= 1 TiB,10000,160 MB/sec,16 TiB,,,,,,,,,,,,AmazonEC2,Amazon Elastic Compute Cloud,,SSD-backed,,,,,EBS:VolumeUsage.gp2,,General Purpose,Storage,HY3BZPP2B6K8MSJF
633,Used,2.3 GHz,Yes,1750 Mbps,,26,,Yes,,,1,,,,,,,,,,,,,,,,,,GPU instance,p3.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,Up to 10 Gigabit,16,SUSE,RunInstances:000g,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:p3.2xlarge,8,,Compute Instance,R85D93TFFU8AU7WZ
658,Used,2.3 GHz,Yes,14000 Mbps,,200,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i3.16xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,488 GiB,20 Gigabit,128,Linux,RunInstances:0004,,Intel Xeon E5-2686 v4 (Broadwell),SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,8 x 1900 NVMe SSD,,Dedicated,,,,DedicatedUsage:i3.16xlarge,64,,Compute Instance,SWKAZTEPBNZBMFX8
679,Used,3.0 Ghz,Yes,Upto 2250 Mbps,,34,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Up to 10 Gigabit,16,Windows,RunInstances:0002,,Intel Xeon Platinum 8124M,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:c5.2xlarge,8,,Compute Instance,FUETJGKE44YRRDYN
686,Used,2.4  GHz,Yes,750 Mbps,,13,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m4.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,High,8,Windows,RunInstances:0006,,Intel Xeon E5-2676 v3 (Haswell),SQL Std,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:m4.xlarge,4,,Compute Instance,FSBXVV6Q3V6PKBSN
688,Used,,Yes,,,271,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.12xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,384 GiB,25 Gigabit,96,Linux,RunInstances:0100,,Intel Xeon Platinum 8151,SQL Ent,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 900 NVMe SSD,,Host,,,,HostBoxUsage:z1d.12xlarge,48,,Compute Instance,RMMDVBFJV567GAR2
689,Used,2 GHz,No,,,35,,,,,,,,,,,,,,,,,,,,,,,Storage optimized,hs1.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,117 GiB,10 Gigabit,64,Windows,RunInstances:0006,,Intel Xeon E5-2650,SQL Std,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,24 x 2000,,Dedicated,,,,DedicatedUsage:hs1.8xlarge,17,,Compute Instance,5U9FJ3JR532G32NE
695,Used,2.3 GHz,Yes,850 Mbps,,13,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i3.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Up to 10 Gigabit,8,Linux,RunInstances:0004,,Intel Xeon E5-2686 v4 (Broadwell),SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 950 NVMe SSD,,Host,,,,HostBoxUsage:i3.xlarge,4,,Compute Instance,BKFGVHMEFJC6W5FF
705,Used,2.3 GHz,Yes,7000 Mbps,,99,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i3.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,244 GiB,10 Gigabit,64,Linux,RunInstances:0100,,Intel Xeon E5-2686 v4 (Broadwell),SQL Ent,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,4 x 1900 NVMe SSD,,Dedicated,,,,DedicatedUsage:i3.8xlarge,32,,Compute Instance,QDTNN27HU45EZ72K
712,Used,2.5 GHz,No,,,26,,,,,,,,,,,,,,,,,,,,,,,General purpose,m3.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30 GiB,High,16,Linux,RunInstances:0100,,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),SQL Ent,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 80 SSD,,Dedicated,,,,DedicatedUsage:m3.2xlarge,8,,Compute Instance,YYE4SZY9G3ZPD5TC
728,Used,2.9 GHz,Yes,500 Mbps,,8,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c4.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,3.75 GiB,Moderate,4,Windows,RunInstances:0006,,Intel Xeon E5-2666 v3 (Haswell),SQL Std,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:c4.large,2,,Compute Instance,266JF3S5TDUM4QX4
734,Used,2.3 GHz,Yes,3000 Mbps,,53,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,122 GiB,Up to 10 Gigabit,32,Linux,RunInstances,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:r4.4xlarge,16,,Compute Instance,JJMJT8KUKWT7YX58
741,Used,2.3 GHz,Yes,3500 Mbps,,47,,Yes,,,1,,,,,,,,,,,,,,,,,,GPU instance,g3.4xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,122 GiB,Up to 10 Gigabit,32,SUSE,RunInstances:000g,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:g3.4xlarge,16,,Compute Instance,Z4Y83SEHA9UDFDP2
742,Used,,Yes,,,Variable,,,,,,,,,,,,,,,,,,,,,,,General purpose,t3.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Moderate,8,Linux,RunInstances:0004,,Intel Skylake E5 2686 v5 (2.5 GHz),SQL Std,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:t3.xlarge,4,,Compute Instance,P23R4BVEXZMSN7M8
746,Used,,Yes,,,52,,,,,,,,,,,,,,,,,,,,,,,FPGA Instances,f1.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,244 GiB,10 Gigabit,32,RHEL,RunInstances:0010,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 940 GB,,Host,,,,HostBoxUsage:f1.4xlarge,16,,Compute Instance,H4UAPTHF9RVEC69E
758,Used,2.3 GHz,Yes,3000 Mbps,,53,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,122 GiB,Up to 10 Gigabit,32,Windows,RunInstances:0006,,Intel Xeon E5-2686 v4 (Broadwell),SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:r4.4xlarge,16,,Compute Instance,JDDEXQUM9ZCJ8RDR
802,Used,Up to 3.0 GHz,Yes,,,Variable,,,,,,,,,,,,,,,,,,,,,,,General purpose,t2.xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,16 GiB,Moderate,8,Windows,RunInstances:0800,,Intel Xeon Family,NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:t2.xlarge,4,,Compute Instance,YN6S4KGMAE64PQR5
817,Used,Up to 3.3 GHz,Yes,,,Variable,,,,,,,,,,,,,,,,,,,,,,,General purpose,t2.medium,,,,No License required,US East (N. Virginia),AWS Region,,,,,4 GiB,Low to Moderate,2,Linux,RunInstances:0200,,Intel Xeon Family,SQL Web,32-bit or 64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:t2.medium,2,,Compute Instance,PRNNDHVDUKAZWEGS
818,Used,2.5 GHz,Yes,12000 Mbps,,345,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5d.24xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,384 GiB,25 Gigabit,192,Linux,RunInstances,,Intel Xeon Platinum 8175,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,4 x 900 NVMe SSD,,Dedicated,,,,DedicatedUsage:m5d.24xlarge,96,,Compute Instance,WTBA9VMYTEZBA42H
830,Used,2.5 GHz,No,,,27,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i2.2xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,61 GiB,High,16,Windows,RunInstances:0800,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 800 SSD,,Host,,,,HostBoxUsage:i2.2xlarge,8,,Compute Instance,VBNNBXFKQ7Y722HK
872,NA,2.3 GHz,Yes,7000 Mbps,,94,,Yes,,,2,,,,,,,,,,,,,,,,,,GPU instance,g3.8xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,244 GiB,10 Gigabit,64,Linux,Hourly,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,NA,,,,EBSOptimized:g3.8xlarge,32,,Compute Instance,7CHGSVMJ73UUBCGJ
873,,,,,,,,,,,,,EBS IOPS,IOPS,,,,,,,,,,,,,,,,,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,Yes,AmazonEC2,Amazon Elastic Compute Cloud,,,,,,,EBS:VolumeP-IOPS.piops,,,System Operation,D8RDVC722HKNR55G
894,Used,2.3 GHz,Yes,12000 Mbps,,195,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.16xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,488 GiB,20 Gigabit,128,RHEL,RunInstances:0010,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:r4.16xlarge,64,,Compute Instance,P2HREWU59F8JRCVB
896,Used,2.3 GHz,Yes,1750 Mbps,,27,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i3.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,Up to 10 Gigabit,16,Linux,RunInstances:0004,,Intel Xeon E5-2686 v4 (Broadwell),SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 1900 NVMe SSD,,Shared,,,,BoxUsage:i3.2xlarge,8,,Compute Instance,9FFABFARTS24URWC
986,Used,2.6 GHz,No,,,104,,,,,4,,,,,,,,,,,,,,,,,,GPU instance,g2.8xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,60 GiB,10 Gigabit,64,Windows,RunInstances:0800,,Intel Xeon E5-2670 (Sandy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 120 SSD,,Host,,,,HostBoxUsage:g2.8xlarge,32,,Compute Instance,RVFUWFSHJ76F8GFX
998,Used,2.3 GHz,Yes,14000 Mbps,,340,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.32xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,"3,904 GiB",25 Gigabit,256,SUSE,RunInstances:000g,,High Frequency Intel Xeon E7-8880 v3 (Haswell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,"2 x 1,920 SSD",,Host,,,,HostBoxUsage:x1e.32xlarge,128,,Compute Instance,VWWDF9UY9DZAY2ZU
999,Used,2.5 GHz,Yes,6000 Mbps,,173,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5.12xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,192 GiB,10 Gigabit,96,Windows,RunInstances:0002,,Intel Xeon Platinum 8175,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:m5.12xlarge,48,,Compute Instance,SRC4GHNGBDCE24NP
1011,Used,2.3 GHz,Yes,12000 Mbps,,195,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.16xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,488 GiB,20 Gigabit,128,SUSE,RunInstances:000g,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:r4.16xlarge,64,,Compute Instance,M7W8H8ETF66PU3XA
1015,Used,Up to 3.3 GHz,Yes,,,Variable,,,,,,,,,,,,,,,,,,,,,,,General purpose,t2.small,,,,No License required,US East (N. Virginia),AWS Region,,,,,2 GiB,Low to Moderate,1,RHEL,RunInstances:0010,,Intel Xeon Family,NA,32-bit or 64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:t2.small,1,,Compute Instance,KGM6Q2CJFMEMKWQN
1043,Used,2.5 GHz,Yes,Upto 2120 Mbps,,16,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Up to 10 Gigabit,8,Windows,RunInstances:0202,,Intel Xeon Platinum 8175,SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:m5.xlarge,4,,Compute Instance,WKD8TSMZFHWPNUUQ
1044,Used,,Yes,,,19,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,10 Gigabit,8,Windows,RunInstances:0002,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 150 NVMe SSD,,Dedicated,,,,DedicatedUsage:r5d.xlarge,4,,Compute Instance,QJNRZNHSG3D3HP5E
1057,Used,,Yes,,,173,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5.12xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,384 GiB,10 Gigabit,96,Windows,RunInstances:0102,,Intel Xeon Platinum 8175,SQL Ent,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:r5.12xlarge,48,,Compute Instance,6YKSYGN66EG3YJ9C
